NUMERO_DE_,PENE,PFEB,PMAR,PABR,PMAY,PJUN,PJUL,PAGO,PSEP,POCT,PNOV,PDIC,PANNUAL
00001082,23.00,5.50,1.70,5.30,20.60,52.70,92.60,70.90,55.40,40.00,7.80,10.80,386.30
00001083,25.60,5.30,0.60,4.20,15.30,60.80,107.60,66.10,52.60,35.00,10.10,12.30,395.50
00001084,25.40,6.40,2.10,8.60,21.70,53.40,103.30,74.10,48.90,31.30,10.80,11.40,397.40
00001085,12.00,4.70,1.40,7.20,19.20,68.20,99.50,103.20,58.20,28.60,6.20,12.10,420.50
00001086,16.70,8.30,1.90,5.20,22.90,76.20,135.10,116.90,82.70,37.10,12.80,19.20,535.00
00001088,28.40,3.30,1.50,7.20,23.00,54.00,95.50,74.40,61.70,33.00,7.70,13.10,402.80
00001089,23.60,5.60,3.90,5.80,23.20,94.70,133.50,88.70,68.50,46.10,9.10,10.00,512.70
00001090,19.00,5.20,1.50,7.10,20.50,70.80,124.40,97.70,65.20,37.10,7.80,13.60,469.90
00001091,25.10,6.30,2.40,7.50,22.90,126.50,193.20,153.90,108.40,58.60,13.20,11.60,729.60
00001094,18.30,7.10,2.00,3.50,13.80,54.30,96.80,79.60,52.90,27.40,7.70,8.80,372.20
00001095,21.60,7.70,2.00,8.30,27.50,109.30,165.60,122.30,80.60,53.50,9.90,11.90,620.20
00001096,16.50,4.80,1.40,8.50,18.90,71.50,110.90,91.80,78.30,47.00,7.90,12.50,470.00
00001098,24.90,7.40,0.50,5.60,20.60,65.30,121.10,96.60,70.60,29.80,3.50,10.60,456.50
00001099,20.90,5.80,1.70,16.40,17.20,77.60,110.80,103.70,72.10,44.80,5.50,10.50,487.00
00001101,18.40,4.20,2.60,9.80,11.70,74.40,120.00,99.50,69.00,36.00,10.40,7.60,463.60
00001102,28.00,6.70,1.30,4.70,10.90,67.30,117.70,75.80,75.40,37.70,4.60,5.00,435.10
00002001,55.60,61.10,59.80,17.20,4.10,2.80,3.40,6.80,7.30,12.70,25.40,35.90,292.10
00002002,7.20,5.60,5.00,0.50,0.10,0.00,1.60,4.80,7.20,11.60,4.90,12.80,61.30
00002003,10.10,8.70,8.30,3.10,0.70,0.10,1.90,8.40,6.90,7.00,2.40,10.30,67.90
00002004,58.60,81.30,71.80,22.00,5.60,2.20,13.10,8.60,10.80,18.30,37.30,42.20,371.80
00002005,62.40,68.60,70.40,21.30,6.80,1.00,0.20,1.90,8.80,23.60,37.50,46.20,348.70
00002006,13.60,27.50,19.90,2.20,1.00,0.20,3.50,11.80,14.10,13.50,11.00,22.20,140.50
00002008,35.10,32.50,37.60,10.50,1.60,0.50,1.60,2.50,6.70,7.00,21.60,30.90,188.10
00002009,8.70,8.40,6.10,1.60,0.60,0.20,5.20,11.00,9.20,12.10,3.90,12.40,79.40
00002010,34.10,19.70,19.20,6.50,1.50,0.10,11.70,8.10,13.00,17.60,11.30,26.80,169.60
00002011,4.80,7.80,5.90,1.70,0.70,0.40,2.50,9.20,6.70,9.50,1.80,7.80,58.80
00002012,4.20,9.90,7.60,1.20,1.10,0.10,2.10,1.70,2.80,6.40,3.80,15.50,56.40
00002013,5.90,8.40,6.60,3.50,0.60,0.00,25.10,27.80,23.50,13.10,5.30,14.90,134.70
00002014,48.20,52.10,55.20,16.60,1.90,0.30,24.50,28.00,21.90,10.50,35.00,40.00,334.20
00002015,19.50,18.50,12.60,1.90,0.40,0.80,4.50,9.60,14.70,4.10,5.40,22.10,114.10
00002016,6.10,7.30,2.70,0.10,0.30,0.00,6.40,20.10,11.00,7.30,2.60,13.90,77.80
00002017,51.20,51.40,62.00,18.50,8.60,1.20,0.00,2.50,6.80,10.20,26.60,28.50,267.50
